,Datetime from,Day-ahead Price [EUR/MWh]
0,01.01.2019 00:00:00,40.16
1,01.01.2019 00:15:00,27.51
2,01.01.2019 00:30:00,13.84
3,01.01.2019 00:45:00,-1.5
4,01.01.2019 01:00:00,27.62
5,01.01.2019 01:15:00,18.04
6,01.01.2019 01:30:00,7.32
7,01.01.2019 01:45:00,1.18
8,01.01.2019 02:00:00,14.75
9,01.01.2019 02:15:00,7.65
10,01.01.2019 02:30:00,1.87
11,01.01.2019 02:45:00,-1.9
12,01.01.2019 03:00:00,10.16
13,01.01.2019 03:15:00,5.7
14,01.01.2019 03:30:00,0.17
15,01.01.2019 03:45:00,-3.23
16,01.01.2019 04:00:00,4.2
17,01.01.2019 04:15:00,6.0
18,01.01.2019 04:30:00,1.08
19,01.01.2019 04:45:00,4.31
20,01.01.2019 05:00:00,0.16
21,01.01.2019 05:15:00,-2.92
22,01.01.2019 05:30:00,1.48
23,01.01.2019 05:45:00,-6.73
24,01.01.2019 06:00:00,-26.89
25,01.01.2019 06:15:00,-19.1
26,01.01.2019 06:30:00,-18.89
27,01.01.2019 06:45:00,-10.17
28,01.01.2019 07:00:00,-40.87
29,01.01.2019 07:15:00,-30.0
30,01.01.2019 07:30:00,-7.54
31,01.01.2019 07:45:00,-1.59
32,01.01.2019 08:00:00,-48.29
33,01.01.2019 08:15:00,-27.32
34,01.01.2019 08:30:00,-0.95
35,01.01.2019 08:45:00,4.55
36,01.01.2019 09:00:00,-18.33
37,01.01.2019 09:15:00,-13.77
38,01.01.2019 09:30:00,-6.12
39,01.01.2019 09:45:00,-7.02
40,01.01.2019 10:00:00,-11.8
41,01.01.2019 10:15:00,-9.68
42,01.01.2019 10:30:00,-7.61
43,01.01.2019 10:45:00,-15.07
44,01.01.2019 11:00:00,-11.89
45,01.01.2019 11:15:00,-4.54
46,01.01.2019 11:30:00,-10.64
47,01.01.2019 11:45:00,-12.94
48,01.01.2019 12:00:00,-16.28
49,01.01.2019 12:15:00,-12.1
50,01.01.2019 12:30:00,-14.58
51,01.01.2019 12:45:00,-15.23
52,01.01.2019 13:00:00,-15.26
53,01.01.2019 13:15:00,-14.37
54,01.01.2019 13:30:00,-18.02
55,01.01.2019 13:45:00,-13.18
56,01.01.2019 14:00:00,-8.62
57,01.01.2019 14:15:00,-3.59
58,01.01.2019 14:30:00,-4.92
59,01.01.2019 14:45:00,-5.31
60,01.01.2019 15:00:00,-6.5
61,01.01.2019 15:15:00,-3.2
62,01.01.2019 15:30:00,4.37
63,01.01.2019 15:45:00,7.33
64,01.01.2019 16:00:00,-6.7
