MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ BZN|DE-LU,Generation - Solar  [MW] Intraday / BZN|DE-LU,Generation - Solar  [MW] Current / BZN|DE-LU,Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU,Generation - Wind Offshore  [MW] Intraday / BZN|DE-LU,Generation - Wind Offshore  [MW] Current / BZN|DE-LU,Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU,Generation - Wind Onshore  [MW] Intraday / BZN|DE-LU,Generation - Wind Onshore  [MW] Current / BZN|DE-LU
01.01.2020 00:00 - 01.01.2020 00:15,0,0,,643,562,,5744,6078,
01.01.2020 00:15 - 01.01.2020 00:30,0,0,,697,558,,5767,5986,
01.01.2020 00:30 - 01.01.2020 00:45,0,0,,751,559,,5795,6051,
01.01.2020 00:45 - 01.01.2020 01:00,0,0,,803,631,,5818,6129,
01.01.2020 01:00 - 01.01.2020 01:15,0,0,,873,770,,5848,6034,
01.01.2020 01:15 - 01.01.2020 01:30,0,0,,981,984,,5860,5957,
01.01.2020 01:30 - 01.01.2020 01:45,0,0,,1093,1054,,5865,5953,
01.01.2020 01:45 - 01.01.2020 02:00,0,0,,1205,1152,,5863,5927,
01.01.2020 02:00 - 01.01.2020 02:15,0,0,,1322,1291,,5947,5934,
01.01.2020 02:15 - 01.01.2020 02:30,0,0,,1433,1438,,5974,5913,
01.01.2020 02:30 - 01.01.2020 02:45,0,0,,1547,1587,,6001,5809,
01.01.2020 02:45 - 01.01.2020 03:00,0,0,,1667,1711,,6027,5668,
01.01.2020 03:00 - 01.01.2020 03:15,0,0,,1772,1836,,6041,5584,
01.01.2020 03:15 - 01.01.2020 03:30,0,0,,1865,1931,,6053,5563,
01.01.2020 03:30 - 01.01.2020 03:45,0,0,,1934,1974,,6065,5535,
01.01.2020 03:45 - 01.01.2020 04:00,0,0,,2004,2030,,6076,5568,
01.01.2020 04:00 - 01.01.2020 04:15,0,0,,2064,2107,,6067,5623,
01.01.2020 04:15 - 01.01.2020 04:30,0,0,,2084,2129,,6005,5616,
01.01.2020 04:30 - 01.01.2020 04:45,0,0,,2100,2202,,5944,5511,
01.01.2020 04:45 - 01.01.2020 05:00,0,0,,2119,2260,,5877,5509,
01.01.2020 05:00 - 01.01.2020 05:15,0,0,,2129,2245,,5790,5577,
01.01.2020 05:15 - 01.01.2020 05:30,0,0,,2116,2218,,5703,5618,
01.01.2020 05:30 - 01.01.2020 05:45,0,0,,2103,2166,,5613,5620,
01.01.2020 05:45 - 01.01.2020 06:00,0,0,,2090,2142,,5530,5601,
01.01.2020 06:00 - 01.01.2020 06:15,0,0,,2070,2132,,5493,5576,
01.01.2020 06:15 - 01.01.2020 06:30,0,0,,2048,2121,,5445,5599,
01.01.2020 06:30 - 01.01.2020 06:45,0,0,,2022,2060,,5400,5631,
01.01.2020 06:45 - 01.01.2020 07:00,0,0,,1994,2010,,5354,5606,
01.01.2020 07:00 - 01.01.2020 07:15,0,0,,1980,1971,,5303,5445,
01.01.2020 07:15 - 01.01.2020 07:30,0,0,,1998,1990,,5260,5391,
01.01.2020 07:30 - 01.01.2020 07:45,0,0,,2012,2033,,5221,5404,
01.01.2020 07:45 - 01.01.2020 08:00,0,0,,2030,2077,,5177,5403,
01.01.2020 08:00 - 01.01.2020 08:15,13,12,,2053,2122,,5153,5409,
01.01.2020 08:15 - 01.01.2020 08:30,105,89,,2095,2182,,5131,5416,
01.01.2020 08:30 - 01.01.2020 08:45,360,359,,2130,2236,,5105,5429,
01.01.2020 08:45 - 01.01.2020 09:00,837,896,,2158,2293,,5084,5437,
01.01.2020 09:00 - 01.01.2020 09:15,1485,1635,,2198,2340,,5062,5443,
01.01.2020 09:15 - 01.01.2020 09:30,2279,2526,,2245,2389,,5031,5409,
01.01.2020 09:30 - 01.01.2020 09:45,3107,3486,,2293,2437,,4998,5371,
01.01.2020 09:45 - 01.01.2020 10:00,3942,4459,,2344,2486,,4955,5329,
01.01.2020 10:00 - 01.01.2020 10:15,4721,5344,,2400,2531,,4901,5261,
01.01.2020 10:15 - 01.01.2020 10:30,5466,6197,,2456,2579,,4791,5082,
01.01.2020 10:30 - 01.01.2020 10:45,6152,7003,,2522,2624,,4670,4908,
