,index,Measure,SVRq_kernel,SVRq_data,SVRepsilon,SVRC,cSVRq_kernel_naive,cSVRq_data_naive,ccSVRq_kernel_div,ccSVRq_data_div,ccSVRdiv_impact
ARX exp  0,2,median optimal,0.5633,0.95,0.0,0.1,0.51,0.95,0.99,0.05,0.1
ARX exp  0,2,median optimal,0.5633,0.95,0.1429,0.1,0.51,0.95,0.99,0.05,0.1
ARX exp  1,2,median optimal,0.6167,0.95,0.0,1.0,0.51,0.95,0.99,0.05,0.1
ARX exp  1,2,median optimal,0.6167,0.95,0.0714,0.1,0.51,0.95,0.99,0.05,0.1
ARX exp  2,2,median optimal,0.67,0.9,0.0,1.0,0.51,0.95,0.99,0.05,0.1
ARX exp  2,2,median optimal,0.67,0.9,0.0,1.0,0.51,0.95,0.99,0.05,0.1
ARX exp  shocked  0,2,median optimal,0.5633,0.95,0.0,0.1,0.51,0.95,0.99,0.05,0.1
ARX exp  shocked  0,2,median optimal,0.5633,0.95,0.0714,0.1,0.51,0.95,0.99,0.05,0.1
ARX exp  shocked  1,2,median optimal,0.6167,0.95,0.0,0.1,0.51,0.95,0.99,0.05,0.1
ARX exp  shocked  1,2,median optimal,0.5633,0.95,0.0,0.1,0.51,0.95,0.99,0.05,0.1
ARX exp  shocked  2,2,median optimal,0.67,0.9,0.0,1.0,0.51,0.95,0.99,0.05,0.1
ARX exp  shocked  2,2,median optimal,0.67,0.9,0.0,1.0,0.51,0.95,0.99,0.05,0.1
ARX 0,2,median optimal,0.7767,0.25,0.2857,1.0,0.51,0.95,0.99,0.05,0.1
ARX 0,2,median optimal,0.5633,0.75,0.5,1.0,0.51,0.95,0.99,0.05,0.1
ARX 1,2,median optimal,0.83,0.25,0.2143,3.0,0.51,0.95,0.99,0.05,0.1
ARX 1,2,median optimal,0.6167,0.75,0.2857,1.0,0.51,0.95,0.99,0.05,0.1
ARX 2,2,median optimal,0.8833,0.25,0.0,3.0,0.51,0.95,0.99,0.05,0.1
ARX 2,2,median optimal,0.83,0.95,0.0714,3.0,0.51,0.95,0.99,0.05,0.1
ARX shocked  0,2,median optimal,0.7233,0.5,0.2857,1.0,0.51,0.95,0.99,0.05,0.1
ARX shocked  0,2,median optimal,0.5633,0.95,0.5,1.0,0.51,0.95,0.99,0.05,0.1
ARX shocked  1,2,median optimal,0.7233,0.25,0.1429,1.0,0.51,0.95,0.99,0.05,0.1
ARX shocked  1,2,median optimal,0.6167,0.75,0.3571,1.0,0.51,0.95,0.99,0.05,0.1
ARX shocked  2,2,median optimal,0.7767,0.75,0.0,1.0,0.51,0.95,0.99,0.05,0.1
ARX shocked  2,2,median optimal,0.7767,0.95,0.0714,1.0,0.51,0.95,0.99,0.05,0.1
AR exp  0,2,median optimal,0.51,0.95,0.2143,0.1,0.51,0.95,0.99,0.05,0.1
AR exp  0,2,median optimal,0.51,0.95,0.1429,0.1,0.51,0.95,0.99,0.05,0.1
AR exp  1,2,median optimal,0.5633,0.9,0.1429,0.1,0.51,0.95,0.99,0.05,0.1
AR exp  1,2,median optimal,0.5633,0.95,0.1429,0.1,0.51,0.95,0.99,0.05,0.1
AR exp  2,2,median optimal,0.67,0.9,0.0714,1.0,0.51,0.95,0.99,0.05,0.1
AR exp  2,2,median optimal,0.6167,0.9,0.0714,0.1,0.51,0.95,0.99,0.05,0.1
AR exp  shocked  0,2,median optimal,0.51,0.9,0.1429,0.1,0.51,0.95,0.99,0.05,0.1
AR exp  shocked  0,2,median optimal,0.51,0.95,0.0714,0.1,0.51,0.95,0.99,0.05,0.1
AR exp  shocked  1,2,median optimal,0.5633,0.9,0.1429,0.1,0.51,0.95,0.99,0.05,0.1
AR exp  shocked  1,2,median optimal,0.51,0.9,0.1429,0.1,0.51,0.95,0.99,0.05,0.1
AR exp  shocked  2,2,median optimal,0.6167,0.75,0.1429,1.0,0.51,0.95,0.99,0.05,0.1
AR exp  shocked  2,2,median optimal,0.6167,0.9,0.0714,0.1,0.51,0.95,0.99,0.05,0.1
AR 0,2,median optimal,0.51,0.95,0.5,0.1,0.5633,0.95,0.99,0.05,0.1
AR 0,2,median optimal,0.51,0.95,0.5,0.1,0.51,0.95,0.99,0.05,0.1
AR 1,2,median optimal,0.6167,0.95,0.5,1.0,0.51,0.95,0.99,0.05,0.1
AR 1,2,median optimal,0.6167,0.95,0.5,0.1,0.51,0.95,0.99,0.05,0.1
AR 2,2,median optimal,0.83,0.5,0.2857,1.0,0.51,0.95,0.99,0.05,0.1
AR 2,2,median optimal,0.83,0.5,0.0714,1.0,0.51,0.95,0.99,0.05,0.1
AR shocked  0,2,median optimal,0.51,0.95,0.5,0.1,0.51,0.95,0.99,0.05,0.1
AR shocked  0,2,median optimal,0.51,0.95,0.2857,0.1,0.5633,0.95,0.99,0.05,0.1
AR shocked  1,2,median optimal,0.6167,0.95,0.4286,0.1,0.51,0.95,0.99,0.05,0.1
AR shocked  1,2,median optimal,0.6167,0.95,0.3571,0.1,0.51,0.95,0.99,0.05,0.1
AR shocked  2,2,median optimal,0.83,0.5,0.2143,1.0,0.51,0.95,0.99,0.05,0.1
AR shocked  2,2,median optimal,0.83,0.5,0.2857,1.0,0.51,0.95,0.99,0.05,0.1
