,index,Measure,SVRq_kernel,SVRq_data,SVRepsilon,SVRC,cSVRq_kernel_naive,cSVRq_data_naive,ccSVRq_kernel_div,ccSVRq_data_div,ccSVRdiv_impact
ARX exp  0,1,range,0.0874,0.0682,0.1101*,0.0432,0.1909,0.38*,0.7909,0.9604,1.6549*
ARX exp  0,1,range,0.0701*,0.045,0.0465,0.0408,0.277,0.3863*,1.7224,2.0873,2.934*
ARX exp  1,1,range,0.1469,0.122,0.1548*,0.0613,0.2299,0.4688*,0.7728,0.8867,1.5738*
ARX exp  1,1,range,0.1205*,0.0805,0.0724,0.056,0.2689,0.4599*,1.6307,1.7817,2.4923*
ARX exp  2,1,range,0.2018,0.1552,0.2118*,0.0802,0.3222,0.6619*,1.2318,1.3049,2.4907*
ARX exp  2,1,range,0.212,0.1404,0.2367*,0.0653,0.3383,0.8468*,1.5947,1.5263,2.8788*
ARX exp  shocked  0,1,range,0.0736,0.0591,0.1261*,0.0374,0.1566,0.2837*,0.9956,1.1376,1.9517*
ARX exp  shocked  0,1,range,0.0705,0.041,0.079*,0.0414,0.2745,0.36*,1.111,1.2355,2.1246*
ARX exp  shocked  1,1,range,0.1142,0.1043,0.1481*,0.0548,0.202,0.3649*,0.878,0.9702,1.5033*
ARX exp  shocked  1,1,range,0.1085*,0.0689,0.0972,0.0505,0.3149,0.4799*,2.1015,2.2174,3.2383*
ARX exp  shocked  2,1,range,0.1825,0.1501,0.1939*,0.0753,0.2726,0.6179*,0.8521,0.892,1.6984*
ARX exp  shocked  2,1,range,0.2068,0.1351,0.2431*,0.0667,0.3493,0.8307*,1.3426,1.2558,2.4211*
ARX 0,1,range,0.101*,0.0447,0.0106,0.0829,0.1715,0.3687*,1.3476,1.1401,2.5747*
ARX 0,1,range,0.0744*,0.0444,0.0173,0.0403,0.1877,0.4127*,2.4648,2.3509,3.4088*
ARX 1,1,range,0.1825*,0.0857,0.0175,0.1373,0.2221,0.4844*,1.6321,1.2152,2.879*
ARX 1,1,range,0.1012*,0.0608,0.0156,0.0451,0.2165,0.4459*,2.0492,1.8016,3.6265*
ARX 2,1,range,0.3162*,0.1296,0.0806,0.2635,0.3582,0.7667*,1.2806,1.2649,3.1816*
ARX 2,1,range,0.2586*,0.1209,0.1,0.1355,0.2653,0.6251*,2.3257,1.9904,4.8479*
ARX shocked  0,1,range,0.0877*,0.0436,0.0104,0.0657,0.1281,0.2872*,1.3239,1.2461,2.3438*
ARX shocked  0,1,range,0.0748*,0.044,0.0142,0.0413,0.2019,0.4196*,2.2688,2.2844,3.5678*
ARX shocked  1,1,range,0.1479*,0.0742,0.0166,0.099,0.1696,0.3869*,1.1556,0.9441,2.2488*
ARX shocked  1,1,range,0.1038*,0.0671,0.0129,0.0464,0.2454,0.5366*,2.6931,2.3654,4.0676*
ARX shocked  2,1,range,0.2686*,0.112,0.0662,0.2143,0.275,0.5847*,0.9691,0.9816,2.2692*
ARX shocked  2,1,range,0.2573*,0.12,0.0904,0.1434,0.2909,0.6402*,1.6525,1.426,3.5718*
AR exp  0,1,range,0.0526,0.0497,0.0344,0.0595*,0.1327,0.1966*,1.2291,1.5468,1.8539*
AR exp  0,1,range,0.0524*,0.0473,0.0321,0.0512,0.1433,0.2327*,3.011,3.7891,4.8396*
AR exp  1,1,range,0.0845*,0.074,0.0442,0.0753,0.148,0.2106*,1.2205,1.4466,1.7517*
AR exp  1,1,range,0.0742,0.0775*,0.0478,0.0673,0.2019,0.3424*,2.1648,2.8076,3.148*
AR exp  2,1,range,0.1636,0.1706*,0.0756,0.0863,0.1941,0.4599*,1.1869,1.3136,1.5527*
AR exp  2,1,range,0.2198,0.2463*,0.0894,0.1382,0.31,0.751*,2.2784,2.7165,2.9075*
AR exp  shocked  0,1,range,0.0474,0.0416,0.06*,0.051,0.104,0.1348*,1.4797,1.9388,2.3586*
AR exp  shocked  0,1,range,0.0415,0.0372,0.0691*,0.042,0.1192,0.1671*,2.6919,3.3805,4.2166*
AR exp  shocked  1,1,range,0.0559,0.0514,0.0593*,0.0514,0.1435,0.1884*,1.157,1.4704,1.5699*
AR exp  shocked  1,1,range,0.0533,0.0521,0.0673*,0.0501,0.1462,0.198*,2.1089,2.7444,3.067*
AR exp  shocked  2,1,range,0.1266,0.1333*,0.0679,0.0705,0.1691,0.3587*,1.1773,1.3801,1.579*
AR exp  shocked  2,1,range,0.156,0.1666*,0.0815,0.1194,0.1924,0.393*,1.6646,1.9733,2.1583*
AR 0,1,range,0.0429,0.0343,0.0133,0.0491*,0.0645,0.1373*,0.9871,0.9219,1.402*
AR 0,1,range,0.0472,0.0419,0.0059,0.0485*,0.0901,0.1967*,3.7799,3.2005,4.868*
AR 1,1,range,0.0624*,0.0592,0.015,0.0483,0.1093,0.2329*,1.1215,0.9441,1.6235*
AR 1,1,range,0.0656,0.0734*,0.01,0.0505,0.1495,0.3282*,2.7173,2.2878,3.4294*
AR 2,1,range,0.2168*,0.1649,0.0343,0.1509,0.2604,0.5751*,1.5011,1.2688,2.1793*
AR 2,1,range,0.2676*,0.2568,0.0398,0.155,0.4763,1.1268*,3.6375,3.0344,5.134*
AR shocked  0,1,range,0.044,0.0346,0.014,0.051*,0.0728,0.1426*,1.4644,1.3021,2.1367*
AR shocked  0,1,range,0.0451,0.0427,0.0094,0.0466*,0.0909,0.193*,2.9828,2.7042,4.0404*
AR shocked  1,1,range,0.0518*,0.0493,0.0154,0.043,0.1018,0.2127*,1.2091,1.0436,1.7713*
AR shocked  1,1,range,0.0614,0.0724*,0.0146,0.0531,0.1489,0.3279*,2.4356,2.1771,3.5275*
AR shocked  2,1,range,0.1801*,0.129,0.028,0.1242,0.2585,0.548*,1.2993,1.0948,1.8357*
AR shocked  2,1,range,0.1551,0.1559*,0.0274,0.0887,0.301,0.6548*,2.0525,1.8999,3.077*
