,MAE OLS,MAE SVR,MAE cSVR,MAE ccSVR,insample MAE OLS,insample MAE SVR,insample MAE cSVR,insample MAE ccSVR,alignment SVR,alignment cSVR,alignment ccSVR
ARX exp  0,0.487,0.45*,0.456,0.461,0.533,0.399,0.398*,0.439,0.6,0.61*,0.586
ARX exp  0,0.462,0.447*,0.465,0.49,0.527,0.417*,0.417,0.475,0.521,0.523*,0.505
ARX exp  1,0.407,0.375*,0.377,0.381,0.446,0.339,0.338*,0.367,0.929,0.958*,0.95
ARX exp  1,0.374*,0.386,0.39,0.402,0.435,0.39,0.389*,0.417,0.901,0.912*,0.903
ARX exp  2,0.218,0.206*,0.213,0.218,0.25,0.146*,0.146,0.18,1.354,1.387,1.404*
ARX exp  2,0.15*,0.179,0.178,0.193,0.187,0.182,0.18*,0.209,2.054,2.098,2.129*
ARX exp  shocked  0,0.481,0.427*,0.436,0.448,0.515,0.38,0.378*,0.42,0.505,0.524*,0.49
ARX exp  shocked  0,0.424,0.397*,0.408,0.423,0.475,0.377,0.376*,0.423,0.354,0.359*,0.345
ARX exp  shocked  1,0.439,0.378*,0.382,0.389,0.473,0.369,0.368*,0.401,0.75,0.765*,0.747
ARX exp  shocked  1,0.392,0.369*,0.373,0.386,0.449,0.349,0.348*,0.389,0.648,0.675*,0.668
ARX exp  shocked  2,0.259,0.238*,0.243,0.246,0.304,0.229,0.228*,0.252,1.2,1.246,1.254*
ARX exp  shocked  2,0.181*,0.184,0.186,0.193,0.228,0.202,0.201*,0.225,1.866,1.899,1.922*
ARX 0,0.603*,0.611,0.616,0.625,0.586,0.394*,0.394,0.483,1.138*,1.138,1.108
ARX 0,0.588*,0.611,0.635,0.656,0.576,0.484*,0.484,0.568,1.045,1.048*,1.025
ARX 1,0.444*,0.464,0.468,0.472,0.428,0.312*,0.312,0.371,1.983,1.994*,1.982
ARX 1,0.422*,0.459,0.474,0.492,0.412,0.348*,0.35,0.416,2.161,2.179*,2.164
ARX 2,0.208*,0.254,0.255,0.255,0.198,0.121*,0.121,0.152,2.075,2.161,2.177*
ARX 2,0.142*,0.198,0.2,0.204,0.139,0.135,0.134*,0.159,3.521,3.584,3.615*
ARX shocked  0,0.62*,0.625,0.632,0.635,0.592,0.438,0.435*,0.51,0.961,0.98*,0.946
ARX shocked  0,0.609*,0.632,0.654,0.671,0.594,0.511*,0.511,0.589,0.72,0.74*,0.712
ARX shocked  1,0.49*,0.501,0.505,0.51,0.462,0.348*,0.349,0.418,1.7,1.75*,1.748
ARX shocked  1,0.472*,0.503,0.527,0.541,0.457,0.387,0.386*,0.45,1.708,1.828*,1.818
ARX shocked  2,0.255*,0.294,0.301,0.3,0.243,0.189,0.188*,0.224,1.914,2.037,2.06*
ARX shocked  2,0.181*,0.227,0.235,0.244,0.174,0.162,0.16*,0.193,3.0,3.143,3.173*
AR exp  0,0.646,0.569*,0.577,0.574,0.628,0.507,0.503*,0.529,0.226,0.266*,0.241
AR exp  0,0.63,0.572*,0.585,0.591,0.635,0.509,0.501*,0.522,0.173,0.25*,0.236
AR exp  1,0.601,0.529*,0.536,0.537,0.572,0.48,0.478*,0.499,0.364,0.386*,0.369
AR exp  1,0.567,0.524*,0.538,0.54,0.573,0.475,0.471*,0.485,0.408,0.435*,0.429
AR exp  2,0.436,0.435*,0.439,0.446,0.375,0.357,0.355*,0.387,1.219,1.238*,1.235
AR exp  2,0.352*,0.407,0.414,0.413,0.343*,0.348,0.349,0.359,1.355,1.369,1.37*
AR exp  shocked  0,0.56,0.49*,0.492,0.493,0.549,0.421,0.416*,0.438,0.227,0.295*,0.268
AR exp  shocked  0,0.517,0.466*,0.473,0.477,0.486,0.386,0.384*,0.406,0.163,0.197*,0.184
AR exp  shocked  1,0.567,0.484*,0.491,0.496,0.542,0.431,0.427*,0.444,0.249,0.288*,0.275
AR exp  shocked  1,0.529,0.473*,0.482,0.488,0.488,0.393,0.392*,0.409,0.256,0.295*,0.284
AR exp  shocked  2,0.512,0.471*,0.476,0.484,0.437,0.396,0.394*,0.423,0.923,0.954*,0.95
AR exp  shocked  2,0.429*,0.457,0.459,0.484,0.382,0.372*,0.372,0.42,0.963*,0.948,0.945
AR 0,0.804*,0.804,0.807,0.806,0.79,0.643,0.629*,0.68,0.327,0.405*,0.363
AR 0,0.802*,0.814,0.831,0.844,0.795,0.698,0.688*,0.765,0.206,0.287*,0.248
AR 1,0.708*,0.727,0.732,0.729,0.696,0.591,0.579*,0.656,0.645,0.714*,0.671
AR 1,0.703*,0.737,0.746,0.747,0.696,0.606,0.601*,0.653,0.733,0.826*,0.805
AR 2,0.418*,0.477,0.482,0.477,0.408,0.366,0.364*,0.413,1.777,1.836*,1.835
AR 2,0.382*,0.447,0.449,0.454,0.377,0.366*,0.368,0.41,2.468,2.51,2.523*
AR shocked  0,0.782,0.78*,0.781,0.781,0.751,0.618,0.6*,0.653,0.29,0.381*,0.349
AR shocked  0,0.767*,0.782,0.793,0.807,0.749,0.657,0.641*,0.693,0.199,0.293*,0.259
AR shocked  1,0.732*,0.733,0.738,0.742,0.704,0.556,0.547*,0.609,0.546,0.599*,0.569
AR shocked  1,0.716*,0.738,0.744,0.752,0.698,0.609,0.605*,0.656,0.551,0.621*,0.588
AR shocked  2,0.501*,0.553,0.558,0.561,0.474,0.412,0.411*,0.471,1.47,1.513*,1.505
AR shocked  2,0.456*,0.528,0.532,0.536,0.44,0.434,0.433*,0.463,1.823,1.91,1.914*
